especie;altura estipite;altura total;tipologia;ug;barrio;distrito;Elemento;fecha  plantacion;marras;x;y;Crecimiento medio (m);media del est°pte (m);Altura media ambiente urbano (m);Varianza altura (m);varianza est°pite (m);desviacion estandar;CV
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240683.79;4142327.55;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240681.67;4142329.36;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240678.97;4142328.41;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240680.31;4142331.44;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240678.1;4142331.13;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240678.9;4142333.77;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240675.94;4142333.18;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240674.02;4142334.54;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240672.26;4142331.63;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240670.25;4142332.91;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240669.89;4142330.67;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240370.82;4142464.31;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240371.26;4142463;;;;;;;
Chamaerops humilis;0.5;1.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240372.36;4142463.91;;;;;;;
